路段,时间,蓝牌车辆数,黄牌车辆数,合计,平均车速,大车混入率,拥堵路段占比,可吸入物排放量,氮氧化物排放量,一氧化碳排放量,服务水平,管控措施,路段预测流量,v2x平均车速,v2x平均车头时距,v2x车辆数,v2x行驶里程,v2x车牌号,v2x车辆类型
路网,2021-06-12 10:00:00,252,185,682,103,0.35,0.25,391,413,735,C,无,400,108,5,13,114,浙A***58,小汽车
红垦枢纽_机场互通_杭州方向,2021-06-12 10:00:00,278,154,792,115,0.58,0.38,410,425,682,D,红垦枢纽_机场互通_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,416,113,8,14,130,浙A***58,小汽车
红垦枢纽_机场互通_宁波方向,2021-06-12 10:00:00,268,188,736,111,0.27,0.34,411,402,695,B,红垦枢纽_机场互通_宁波方向建议实行管控措施，管控措施如下：道路限速：104km/h，可通行大车车道编号：1、2，是否开放可变车道：否,330,104,11,18,111,浙A***58,小汽车
机场互通_瓜沥互通_杭州方向,2021-06-12 10:00:00,239,110,623,112,0.32,0.32,454,428,644,B,机场互通_瓜沥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：106km/h，可通行大车车道编号：1、2，是否开放可变车道：否,395,106,9,14,128,浙A***58,小汽车
机场互通_瓜沥互通_宁波方向,2021-06-12 10:00:00,274,146,722,117,0.45,0.39,317,418,638,C,无,321,106,9,10,121,浙A***58,小汽车
瓜沥互通_柯桥互通_杭州方向,2021-06-12 10:00:00,228,160,682,104,0.52,0.39,493,424,687,A,瓜沥互通_柯桥互通_杭州方向建议实行管控措施，管控措施如下：道路限速：105km/h，可通行大车车道编号：1、2，是否开放可变车道：否,484,109,8,12,116,浙A***58,小汽车
瓜沥互通_柯桥互通_宁波方向,2021-06-12 10:00:00,249,164,764,112,0.32,0.33,307,408,651,A,无,395,117,9,10,101,浙A***58,小汽车
柯桥互通_齐贤枢纽_杭州方向,2021-06-12 10:00:00,298,148,649,107,0.28,0.23,391,425,627,A,无,348,103,12,19,126,浙A***58,小汽车
柯桥互通_齐贤枢纽_宁波方向,2021-06-12 10:00:00,207,187,637,118,0.68,0.36,491,419,708,B,无,432,115,8,19,129,浙A***58,小汽车
齐贤枢纽_绍兴互通_杭州方向,2021-06-12 10:00:00,260,146,708,111,0.52,0.23,401,402,687,D,齐贤枢纽_绍兴互通_杭州方向建议实行管控措施，管控措施如下：道路限速：108km/h，可通行大车车道编号：1、2，是否开放可变车道：否,376,114,13,19,108,浙A***58,小汽车
